No.,Time,Source,Destination,Protocol,Length
198,2025-04-10 15:19:13.705636,N/A,N/A,TCP,1514
199,2025-04-10 15:19:13.705636,N/A,N/A,TCP,1514
200,2025-04-10 15:19:13.705659,N/A,N/A,TCP,74
201,2025-04-10 15:19:13.705801,N/A,N/A,TCP,1514
202,2025-04-10 15:19:13.705801,N/A,N/A,TCP,1514
203,2025-04-10 15:19:13.705818,N/A,N/A,TCP,74
204,2025-04-10 15:19:13.706349,N/A,N/A,TCP,1514
205,2025-04-10 15:19:13.706349,N/A,N/A,TCP,1514
206,2025-04-10 15:19:13.706387,N/A,N/A,TCP,74
207,2025-04-10 15:19:13.706438,N/A,N/A,TCP,1514
208,2025-04-10 15:19:13.706438,N/A,N/A,TCP,1514
209,2025-04-10 15:19:13.706452,N/A,N/A,TCP,74
210,2025-04-10 15:19:13.706485,N/A,N/A,TCP,1514
211,2025-04-10 15:19:13.706485,N/A,N/A,TCP,1514
212,2025-04-10 15:19:13.706494,N/A,N/A,TCP,74
213,2025-04-10 15:19:13.706560,N/A,N/A,TCP,1514
214,2025-04-10 15:19:13.706560,N/A,N/A,TCP,1514
215,2025-04-10 15:19:13.706572,N/A,N/A,TCP,74
216,2025-04-10 15:19:13.706910,N/A,N/A,TCP,1514
217,2025-04-10 15:19:13.706910,N/A,N/A,TCP,1514
218,2025-04-10 15:19:13.706910,N/A,N/A,TCP,159
219,2025-04-10 15:19:13.706942,N/A,N/A,TCP,74
220,2025-04-10 15:19:14.154166,192.168.29.73,35.174.127.31,TCP,164
221,2025-04-10 15:19:14.194111,N/A,N/A,TCP,75
222,2025-04-10 15:19:14.202282,N/A,N/A,UDP,112
223,2025-04-10 15:19:14.202563,N/A,N/A,UDP,112
224,2025-04-10 15:19:14.202735,N/A,N/A,UDP,112
225,2025-04-10 15:19:14.205454,N/A,N/A,UDP,144
226,2025-04-10 15:19:14.209025,N/A,N/A,UDP,260
227,2025-04-10 15:19:14.209768,N/A,N/A,UDP,168
228,2025-04-10 15:19:14.210722,N/A,N/A,UDP,1292
229,2025-04-10 15:19:14.210805,N/A,N/A,UDP,1292
230,2025-04-10 15:19:14.271231,N/A,N/A,TCP,86
231,2025-04-10 15:19:14.288743,N/A,N/A,UDP,1262
232,2025-04-10 15:19:14.288743,N/A,N/A,UDP,1262
233,2025-04-10 15:19:14.288743,N/A,N/A,UDP,1262
234,2025-04-10 15:19:14.288743,N/A,N/A,UDP,599
235,2025-04-10 15:19:14.289171,N/A,N/A,UDP,113
236,2025-04-10 15:19:14.289825,N/A,N/A,UDP,236
237,2025-04-10 15:19:14.290032,N/A,N/A,UDP,510
238,2025-04-10 15:19:14.367975,N/A,N/A,UDP,1262
239,2025-04-10 15:19:14.367975,N/A,N/A,UDP,458
240,2025-04-10 15:19:14.368256,N/A,N/A,UDP,1292
241,2025-04-10 15:19:14.368409,N/A,N/A,UDP,105
242,2025-04-10 15:19:14.444336,N/A,N/A,UDP,91
243,2025-04-10 15:19:14.470052,N/A,N/A,UDP,106
244,2025-04-10 15:19:14.543611,35.174.127.31,192.168.29.73,TCP,54
245,2025-04-10 15:19:14.547531,N/A,N/A,UDP,86
246,2025-04-10 15:19:14.572817,N/A,N/A,UDP,106
247,2025-04-10 15:19:14.646782,N/A,N/A,UDP,111
248,2025-04-10 15:19:14.647011,N/A,N/A,UDP,109
249,2025-04-10 15:19:14.721260,N/A,N/A,UDP,90
250,2025-04-10 15:19:14.725444,N/A,N/A,UDP,815
251,2025-04-10 15:19:14.725815,N/A,N/A,UDP,105
252,2025-04-10 15:19:15.273305,N/A,N/A,,86
253,2025-04-10 15:19:15.275215,N/A,N/A,,78
254,2025-04-10 15:19:15.455280,N/A,N/A,,42
255,2025-04-10 15:19:15.455298,N/A,N/A,,42
256,2025-04-10 15:19:16.273034,192.168.29.73,224.0.0.22,,54
257,2025-04-10 15:19:16.472230,N/A,N/A,,42
258,2025-04-10 15:19:16.472253,N/A,N/A,,42
259,2025-04-10 15:19:17.173598,192.168.29.73,148.113.20.116,TCP,55
260,2025-04-10 15:19:17.215704,148.113.20.116,192.168.29.73,TCP,66
261,2025-04-10 15:19:18.904189,N/A,N/A,TCP,74
262,2025-04-10 15:19:18.909739,N/A,N/A,TCP,98
263,2025-04-10 15:19:18.909778,N/A,N/A,TCP,74
264,2025-04-10 15:19:18.910840,N/A,N/A,TCP,74
265,2025-04-10 15:19:19.778959,N/A,N/A,,42
266,2025-04-10 15:19:23.476696,N/A,N/A,TCP,86
267,2025-04-10 15:19:23.483750,N/A,N/A,TCP,86
268,2025-04-10 15:19:23.483809,N/A,N/A,TCP,74
269,2025-04-10 15:19:23.484424,N/A,N/A,TCP,1418
270,2025-04-10 15:19:23.484424,N/A,N/A,TCP,782
271,2025-04-10 15:19:23.492343,N/A,N/A,TCP,74
272,2025-04-10 15:19:23.493108,N/A,N/A,TCP,344
273,2025-04-10 15:19:23.493445,N/A,N/A,TCP,154
274,2025-04-10 15:19:23.493610,N/A,N/A,TCP,883
275,2025-04-10 15:19:23.500466,N/A,N/A,TCP,74
276,2025-04-10 15:19:23.500466,N/A,N/A,TCP,74
277,2025-04-10 15:19:23.500466,N/A,N/A,TCP,377
278,2025-04-10 15:19:23.553665,N/A,N/A,TCP,74
279,2025-04-10 15:19:23.558961,N/A,N/A,TCP,1514
